file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\store-pos\src\helper\AlertHelper.java,helper.AlertHelper,class,4,16,12,4,2,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,17,0,0,1,0,0,0,0,5,0,3,1,0,0,0,13,1,0
C:\projects\store-pos\src\controller\AddPurchaseController.java,controller.AddPurchaseController,class,22,23,1,22,48,1,0,87,0,0.80555564,0.6909091,1.0,18,0,10,7,0,1,11,0,0,0,28,0,0,24,0,4,1,0,32,372,0,6,5,7,4,133,39,106,29,114,5,0,0,6,214,1,0
C:\projects\store-pos\src\controller\MainPanelController.java,controller.MainPanelController,class,11,12,1,11,18,1,0,22,97,0.9179487,0.0,0.0,15,0,3,12,0,0,3,0,0,0,6,0,0,6,0,0,0,0,2,192,0,1,1,1,0,116,96,12,1,24,2,0,0,0,70,1,0
C:\projects\store-pos\src\model\PurchaseModel.java,model.PurchaseModel,class,0,1,1,0,20,1,0,0,136,0.84999996,0.14210527,0.9,20,0,20,0,0,0,20,0,0,0,9,0,0,9,0,0,0,0,0,78,9,0,0,0,0,0,0,18,0,9,0,0,0,0,24,1,0
C:\projects\store-pos\src\model\PurchaseReturnModel.java,model.PurchaseReturnModel,class,0,1,1,0,20,1,0,0,136,0.84999996,0.14210527,0.9,20,0,20,0,0,0,20,0,0,0,9,0,0,9,0,0,0,0,0,78,9,0,0,0,0,0,0,18,0,9,0,0,0,0,25,1,0
C:\projects\store-pos\src\controller\ListPurchaseController.java,controller.ListPurchaseController,class,17,21,4,17,12,1,0,40,0,0.6333333,0.0,0.0,6,0,2,4,0,0,2,0,0,0,5,1,0,5,0,0,2,0,9,100,2,1,0,4,3,41,6,30,4,30,3,0,0,0,112,1,0
C:\projects\store-pos\src\controller\AddPurchaseReturnController.java,controller.AddPurchaseReturnController,class,22,23,1,22,48,1,0,87,0,0.80555564,0.6909091,1.0,18,0,10,7,0,1,11,0,0,0,28,0,0,24,0,4,1,0,32,371,0,6,5,7,4,133,39,106,29,114,5,0,0,6,216,1,0
C:\projects\store-pos\src\controller\ListSalesController.java,controller.ListSalesController,class,18,23,5,18,12,1,0,40,0,0.6333333,0.0,0.0,6,0,2,4,0,0,2,0,0,0,5,1,0,5,0,0,2,0,9,104,2,1,0,4,3,47,6,32,4,32,3,0,0,0,114,1,0
C:\projects\store-pos\src\controller\EditSalesReturnController.java,controller.EditSalesReturnController,class,26,27,1,26,50,1,0,96,0,0.8111112,0.76363635,1.0,18,0,10,7,0,1,11,0,0,0,30,1,1,25,0,4,1,0,40,387,0,7,5,8,5,140,39,107,33,114,5,0,0,6,197,1,0
C:\projects\store-pos\src\main\MainPanel.java,main.MainPanel,class,5,5,0,5,2,2,0,9,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,2,0,2,0,0,0,0,30,1,0
C:\projects\store-pos\src\model\SalesModel.java,model.SalesModel,class,0,1,1,0,24,1,0,0,210,0.875,0.11956522,0.9166667,24,0,24,0,0,0,24,0,0,0,11,0,0,11,0,0,0,0,0,94,11,0,0,0,0,0,0,22,0,11,0,0,0,0,28,1,0
